name,display,description,details,type
lab_creatinine,Creatinine — recorded evidence,Presence of matching coded evidence for Creatinine.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",boolean
lab_folate,Serum/plasma folate — recorded evidence,Presence of matching coded evidence for Serum/plasma folate.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",boolean
lab_folate_interpretation,Lab folate interpretation,Folate interpretation: table-dependent flag or laboratory interpretation code,"NAME COLLISION: In pcx__cohort_variable_wide this column is a boolean flag for the folate-interpretation valueset; in pcx__cohort_variable_wide_lab it is the serum/plasma folate interpretation code. Dashboard type string is a display fallback, not a common SQL type. Distinct column names are required to resolve this conflict. Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",string
lab_folate_rbc,Red-cell folate — recorded evidence,Presence of matching coded evidence for Red-cell folate.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",boolean
lab_folate_unspecified,Folate with unspecified local specimen — recorded evidence,Presence of matching coded evidence for Folate with unspecified local specimen.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",boolean
lab_folate_whole_blood,Whole-blood folate — recorded evidence,Presence of matching coded evidence for Whole-blood folate.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Keep separate from RBC and serum/plasma folate.",boolean
lab_hemoglobin,Hemoglobin — recorded evidence,Presence of matching coded evidence for Hemoglobin.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",boolean
lab_platelets,Platelet count — recorded evidence,Presence of matching coded evidence for Platelet count.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",boolean
lab_total_bilirubin,Total bilirubin — recorded evidence,Presence of matching coded evidence for Total bilirubin.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",boolean
rx_chemo_carboplatin,Carboplatin — recorded evidence,Presence of matching coded evidence for Carboplatin.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_chemo_cisplatin,Cisplatin — recorded evidence,Presence of matching coded evidence for Cisplatin.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_chemo_cyclophosphamide,Cyclophosphamide — recorded evidence,Presence of matching coded evidence for Cyclophosphamide.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_chemo_etoposide,Etoposide — recorded evidence,Presence of matching coded evidence for Etoposide.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_contrast_methotrexate,Methotrexate — recorded evidence,Presence of matching coded evidence for Methotrexate.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_chemo_thiotepa,Thiotepa — recorded evidence,Presence of matching coded evidence for Thiotepa.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
rx_chemo_vincristine,Vincristine — recorded evidence,Presence of matching coded evidence for Vincristine.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",boolean
lab_absolute_neutrophil_count_date,Lab absolute neutrophil count date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_absolute_neutrophil_count evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Two method variants; coverage not comprehensively audited.",string
lab_absolute_neutrophil_count_interpretation,Lab absolute neutrophil count interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_absolute_neutrophil_count evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Two method variants; coverage not comprehensively audited.",string
lab_absolute_neutrophil_count_value,Lab absolute neutrophil count value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_absolute_neutrophil_count evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Two method variants; coverage not comprehensively audited.",float
lab_absolute_neutrophil_count_unit,Lab absolute neutrophil count unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_absolute_neutrophil_count evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Two method variants; coverage not comprehensively audited.",string
lab_absolute_neutrophil_count_ref,Lab absolute neutrophil count ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_absolute_neutrophil_count evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Two method variants; coverage not comprehensively audited.",string
lab_alt_date,Lab alt date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_alt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Includes P-5-P method variants and local codes; preserve method, specimen and units.",string
lab_alt_interpretation,Lab alt interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_alt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; preserve method, specimen and units.",string
lab_alt_value,Lab alt value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_alt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Includes P-5-P method variants and local codes; preserve method, specimen and units.",float
lab_alt_unit,Lab alt unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_alt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; preserve method, specimen and units.",string
lab_alt_ref,Lab alt ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_alt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; preserve method, specimen and units.",string
lab_ast_date,Lab ast date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_ast evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Includes P-5-P method variants and local codes; local specimens require validation.",string
lab_ast_interpretation,Lab ast interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_ast evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; local specimens require validation.",string
lab_ast_value,Lab ast value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_ast evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Includes P-5-P method variants and local codes; local specimens require validation.",float
lab_ast_unit,Lab ast unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_ast evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; local specimens require validation.",string
lab_ast_ref,Lab ast ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_ast evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes P-5-P method variants and local codes; local specimens require validation.",string
lab_creatinine_date,Lab creatinine date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_creatinine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",string
lab_creatinine_interpretation,Lab creatinine interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_creatinine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",string
lab_creatinine_value,Lab creatinine value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_creatinine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",float
lab_creatinine_unit,Lab creatinine unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_creatinine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",string
lab_creatinine_ref,Lab creatinine ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_creatinine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Only LOINC 2160-0 currently included; eight proposed multi-site LOINCs have not been added. Seven local candidates included by request; unspecified specimens and Prime + require site validation. Exclude urine, ratios, clearance and eGFR from this numeric variable.",string
lab_folate_date,Lab folate date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",string
lab_folate_value,Lab folate value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",float
lab_folate_unit,Lab folate unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",string
lab_folate_ref,Lab folate ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Optional exploratory variable. Separate pretreatment from post-methotrexate/leucovorin results downstream; assay interference requires review. No treatment timing rule is implemented by this CSV.",string
lab_folate_interpretation_date,Lab folate interpretation date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_interpretation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Not a numeric concentration; matching code presence alone does not establish deficiency.",string
lab_folate_interpretation_interpretation,Lab folate interpretation interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_interpretation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Not a numeric concentration; matching code presence alone does not establish deficiency.",string
lab_folate_interpretation_value,Lab folate interpretation value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_interpretation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Not a numeric concentration; matching code presence alone does not establish deficiency.",float
lab_folate_interpretation_unit,Lab folate interpretation unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_interpretation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Not a numeric concentration; matching code presence alone does not establish deficiency.",string
lab_folate_interpretation_ref,Lab folate interpretation ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_interpretation evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Not a numeric concentration; matching code presence alone does not establish deficiency.",string
lab_folate_rbc_date,Lab folate rbc date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_rbc evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",string
lab_folate_rbc_interpretation,Lab folate rbc interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_rbc evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",string
lab_folate_rbc_value,Lab folate rbc value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_rbc evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",float
lab_folate_rbc_unit,Lab folate rbc unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_rbc evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",string
lab_folate_rbc_ref,Lab folate rbc ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_rbc evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from serum/plasma and whole blood. Local RBC Folate mapping requires site validation.",string
lab_folate_unspecified_date,Lab folate unspecified date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_unspecified evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",string
lab_folate_unspecified_interpretation,Lab folate unspecified interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_unspecified evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",string
lab_folate_unspecified_value,Lab folate unspecified value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_unspecified evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",float
lab_folate_unspecified_unit,Lab folate unspecified unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_unspecified evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",string
lab_folate_unspecified_ref,Lab folate unspecified ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_unspecified evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Specimen, units and numeric result type unresolved; do not pool with serum/plasma or RBC measurements until validated.",string
lab_folate_whole_blood_date,Lab folate whole blood date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_whole_blood evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Keep separate from RBC and serum/plasma folate.",string
lab_folate_whole_blood_interpretation,Lab folate whole blood interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_whole_blood evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from RBC and serum/plasma folate.",string
lab_folate_whole_blood_value,Lab folate whole blood value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_whole_blood evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Keep separate from RBC and serum/plasma folate.",float
lab_folate_whole_blood_unit,Lab folate whole blood unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_whole_blood evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from RBC and serum/plasma folate.",string
lab_folate_whole_blood_ref,Lab folate whole blood ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_folate_whole_blood evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Keep separate from RBC and serum/plasma folate.",string
lab_hemoglobin_date,Lab hemoglobin date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_hemoglobin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",string
lab_hemoglobin_interpretation,Lab hemoglobin interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_hemoglobin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",string
lab_hemoglobin_value,Lab hemoglobin value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_hemoglobin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",float
lab_hemoglobin_unit,Lab hemoglobin unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_hemoglobin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",string
lab_hemoglobin_ref,Lab hemoglobin ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_hemoglobin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes measured, calculated, molar and mass concentrations and special collection contexts. Local 923 Reticulocyte Hemoglobin remains included despite scope concern; separate before pooling as total blood hemoglobin.",string
lab_platelets_date,Lab platelets date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_platelets evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",string
lab_platelets_interpretation,Lab platelets interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_platelets evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",string
lab_platelets_value,Lab platelets value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_platelets evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",float
